|SizeOfCode|AddressOfEntryPoint|SizeOfImage
60235|193024|109585|339968
60236|61440|32440|6881280
60237|40448|42488|81920
60238|111616|22699|585728
60239|118272|59610|516096
60240|45056|5512|65536
60241|789504|5312|2117632
60242|120320|61658|528384
60243|37888|40000|81920
60244|117248|58650|520192
60245|120320|61562|528384
60246|117760|58906|520192
60247|37888|40000|110592
60248|111616|20004|507904
60249|119808|61012|524288
60250|120320|61562|528384
60251|40448|42488|81920
60252|233984|93120|1634304
60253|23552|12945|217088
60254|120320|61562|528384
60255|7680|5339|348160
60256|113664|24735|851968
60257|118784|59802|540672
60258|116224|57436|524288
60259|23552|12825|192512
60260|24064|12538|241664
60261|23552|12945|188416
60262|7680|4096|372736
60263|119808|61532|528384
60264|119808|61532|528384
60265|116224|57436|524288
60266|119808|61300|528384
60267|111616|22731|593920
60268|193024|109585|339968
60269|117760|58906|520192
60270|102400|12013|712704
60271|32768|8754|139264
60272|114688|17531|516096
60273|120320|61562|528384
60274|119808|61532|528384
60275|205312|121707|450560
60276|47616|49600|98304
60277|29184|14764|221184
60278|113664|24735|851968
60279|1219072|1066278|5681152
60280|210432|117640|475136
60281|71168|16077|163840
60282|119808|61532|528384
60283|118272|59610|516096
60284|120320|61562|528384
60285|120320|61562|528384
60286|116224|57436|524288
60287|7680|5339|348160
60288|102400|12013|712704
60289|120320|61658|528384
60290|73728|42894|8777728
60291|118784|59901|532480
60292|30720|14348|270336
60293|24576|24706|86016
60294|7680|5339|339968
60295|24064|12538|2068480
60296|118784|60132|520192
60297|64512|12342|339968
60298|37888|40000|81920
60299|29184|14764|221184
60300|120320|61658|528384
60301|120320|61578|528384
60302|120320|61562|528384
60303|119808|61532|528384
60304|192512|174208|245760
60305|102400|12013|712704
60306|105984|12165|872448
60307|7680|5339|339968
60308|622080|5229|700416
60309|39424|16342|602112
60310|212992|623920|643072
60311|120320|61578|528384
60312|110080|16127|507904
60313|23552|12825|192512
60314|174592|116820|487424
60315|120320|61578|528384
60316|83968|21885|311296
60317|28672|14819|3977216
60318|30720|14348|270336
60319|24064|12538|241664
60320|120320|61578|528384
60321|37888|39716|81920
60322|37888|40000|81920
60323|64512|12342|339968
60324|119808|61532|528384
60325|120320|61562|528384
60326|49152|6200|94208
60327|7680|5339|339968
60328|7680|5339|339968
60329|117248|58650|520192
60330|120320|61578|528384
60331|119808|61204|524288
60332|30720|14348|270336
60333|30720|14348|270336
60334|118784|59882|520192
60335|29184|14764|221184
60336|37888|40000|110592
60337|120320|61578|528384
60338|29184|4605|675840
60339|225280|622992|655360
60340|120320|61578|528384
60341|36864|39116|106496
60342|7680|5339|335872
60343|117760|58906|520192
60344|119808|61532|528384
60345|120320|61658|528384
60346|117760|58906|520192
60347|118784|59882|520192
60348|61440|38156|102400
60349|117248|58650|520192
60350|118784|59901|532480
60351|28672|14819|8708096
60352|28672|14819|8429568
60353|208896|619424|634880
60354|118784|59901|532480
60355|102400|12013|712704
60356|117760|58906|520192
60357|117248|58650|520192
60358|42496|50446|188416
60359|111104|22299|684032
60360|225280|622992|655360
60361|110592|10010|458752
60362|113664|24735|851968
60363|119808|61532|528384
60364|120320|61658|528384
60365|27648|35582|57344
60366|7680|5339|339968
60367|24064|12538|253952
60368|118272|59370|516096
60369|57344|31587|573440
60370|120320|61562|528384
60371|120320|61562|528384
60372|7680|5339|348160
60373|520192|1401936|1433600
60374|520192|1401936|1433600
60375|119808|61532|528384
60376|64512|13677|339968
60377|7680|5339|335872
60378|30720|14348|270336
60379|111104|22299|684032
60380|120320|61578|528384
60381|112640|15735|835584
60382|30720|14348|270336
60383|120320|61578|528384
60384|37888|40000|81920
60385|119808|61532|528384
60386|117248|58650|520192
60387|119808|61532|528384
60388|4136960|9227216|9248768
60389|626688|631966|655360
60390|37888|40000|81920
60391|119808|61532|528384
60392|13824|5792|180224
60393|47616|49600|98304
60394|117760|58906|520192
60395|118272|59610|516096
60396|120320|61578|528384
60397|7680|5339|339968
60398|118784|59882|520192
60399|24576|539680|708608
60400|120320|61658|528384
60401|7680|5339|335872
60402|193024|109585|339968
60403|106496|68939|180224
60404|7680|5339|335872
60405|29184|14764|221184
60406|37888|40000|81920
60407|23040|12491|200704
60408|64000|10482|262144
60409|37888|40000|81920
60410|7680|5339|327680
60411|30720|14348|270336
60412|7680|5339|348160
60413|119808|61532|528384
60414|24064|12721|409600
60415|64000|10482|253952
60416|119808|61532|528384
60417|102400|12013|712704
60418|23040|12491|196608
60419|120320|61658|528384
60420|114688|404240|417792
60421|119808|61532|528384
60422|120320|61578|528384
60423|47616|49600|98304
60424|99328|8924|1265664
60425|40448|42488|81920
60426|120320|61578|528384
60427|155648|111638|483328
60428|111616|20004|507904
60429|122368|53602|487424
60430|119808|61532|528384
60431|120320|61578|528384
60432|24576|27816|602112
60433|5120|13054|32768
60434|476672|320176|856064
60435|104960|67739|180224
60436|7680|5339|339968
60437|118272|59610|516096
60438|120320|61562|528384
60439|517120|510987|684032
60440|119808|61532|528384
60441|111616|22731|593920
60442|28672|14819|1208320
60443|102400|12013|712704
60444|641024|530892|946176
60445|120320|61578|528384
60446|117248|58650|520192
60447|119808|61532|528384
60448|64512|204801|217088
60449|117760|58906|520192
60450|65024|70588|126976
60451|37888|40000|110592
60452|120320|61658|528384
60453|118784|59930|520192
60454|64000|10482|262144
60455|648704|536991|954368
60456|118784|59802|520192
60457|279552|200673|479232
60458|117248|58650|520192
60459|23040|12491|1400832
60460|102400|12013|712704
60461|83968|21885|311296
60462|23552|12825|192512
60463|524288|1416352|1445888
60464|61440|32440|8998912
60465|64000|10482|253952
60466|159232|68600|233472
60467|118784|59882|520192
60468|42496|50430|73728
60469|113664|24735|851968
60470|37888|40000|90112
60471|7680|5339|339968
60472|120320|61578|528384
60473|90112|19623|126976
60474|119808|61532|528384
60475|105472|67947|180224
60476|40960|226320|262144
60477|24064|12538|241664
60478|74752|44167|221184
60479|118784|60132|520192
60480|110080|16127|507904
60481|120320|61562|528384
60482|29184|14764|221184
60483|37888|40000|81920
60484|118784|59901|532480
60485|7680|5339|339968
60486|118784|59930|520192
60487|120320|61562|528384
60488|28672|14819|8708096
60489|47616|49600|98304
60490|24064|12538|241664
60491|120320|61562|528384
60492|103936|58651|180224
60493|119296|60696|524288
60494|120320|61562|528384
60495|520192|1401936|1433600
60496|37888|39716|81920
60497|119808|61532|528384
60498|118784|59914|520192
60499|45056|31586|90112
60500|119808|61532|528384
60501|120320|61658|528384
60502|31232|5494|331776
60503|105984|12165|872448
60504|28672|14819|8429568
60505|74752|44167|208896
60506|42496|50446|73728
60507|120320|61578|528384
60508|274432|853568|876544
60509|29184|14764|221184
60510|113664|24735|851968
60511|117248|58650|520192
60512|29184|14764|221184
60513|118272|59370|516096
60514|118784|59882|520192
60515|119808|61532|528384
60516|65536|102400|135168
60517|65024|70588|188416
60518|24064|12538|262144
60519|24064|12538|319488
60520|29184|14764|221184
60521|120320|61578|528384
60522|117248|58650|520192
60523|7680|5339|335872
60524|120320|61658|528384
60525|110080|16127|507904
60526|13312|5148|20480
60527|120320|61658|528384
60528|64000|10482|262144
60529|118272|59610|516096
60530|29184|14764|221184
60531|120320|61658|528384
60532|110592|10010|458752
60533|31232|5494|331776
60534|152064|119624|352256
60535|120320|61658|528384
60536|119808|61532|528384
60537|19968|22640|36864
60538|118784|59901|532480
60539|12288|13614|77824
60540|28672|14819|3977216
60541|35840|5213|372736
60542|118784|59882|520192
60543|119808|61532|528384
60544|64512|12342|339968
60545|118784|59786|532480
60546|119808|61532|528384
60547|113664|24735|851968
60548|7680|5339|339968
60549|118272|59610|516096
60550|120320|61578|528384
60551|120320|61658|528384
60552|46592|10927|110592
60553|193024|109585|339968
60554|102400|12013|712704
60555|120320|61658|528384
60556|118784|59901|532480
60557|272896|280702|303104
60558|154624|77844|274432
60559|1138688|3229248|3362816
60560|65024|70588|126976
60561|111616|22731|593920
60562|28672|14819|3977216
60563|113664|11853|651264
60564|24064|12538|241664
60565|210432|117640|475136
60566|7680|5339|335872
60567|70656|15741|217088
60568|152064|119608|344064
60569|99328|8924|1400832
60570|24064|12538|245760
60571|102400|12013|712704
60572|49152|48800|131072
60573|117760|58906|520192
60574|70656|15741|217088
60575|116224|57436|524288
60576|110592|16533|630784
60577|7680|5339|348160
60578|118272|59610|516096
60579|153088|120616|339968
60580|117760|58906|520192
60581|41984|44076|86016
60582|120320|61658|528384
60583|102400|15197|1257472
60584|120320|61578|528384
60585|5120|8400|32768
60586|23552|12860|245760
60587|116224|57436|524288
60588|120320|61578|528384
60589|120320|61658|528384
60590|88576|21373|180224
60591|634880|1732816|1830912
60592|36864|10720|696320
60593|40960|226320|262144
60594|122368|53634|487424
60595|113664|24735|851968
60596|111616|19956|647168
60597|120832|62541|528384
60598|118784|59850|520192
60599|120320|61658|528384
60600|37888|40000|81920
60601|31232|5494|331776
60602|74752|44167|221184
60603|120320|61562|528384
60604|118784|59901|532480
60605|111616|19956|872448
60606|120320|61658|528384
60607|24064|12538|262144
60608|118784|59850|520192
60609|30720|14348|270336
60610|117760|58906|520192
60611|120320|61578|528384
60612|117760|58906|520192
60613|118272|59610|516096
60614|70656|15709|155648
60615|28672|14819|3977216
60616|24064|12538|253952
60617|212992|623920|643072
60618|111616|20004|507904
60619|119808|61532|528384
60620|13824|6889|131072
60621|117248|58650|520192
60622|7680|5339|339968
60623|99328|8924|1265664
60624|118272|59610|516096
60625|120320|61578|528384
60626|117760|58906|520192
60627|114688|17531|516096
60628|13824|6170|151552
60629|273920|462849|475136
60630|7680|5339|339968
60631|118784|59914|520192
60632|102400|15197|1257472
60633|119808|61532|528384
60634|106496|68939|180224
60635|30720|14348|270336
60636|440320|444180|1060864
60637|7680|5339|339968
60638|37888|40000|81920
60639|110080|16127|507904
60640|41984|9481|385024
60641|37888|40000|90112
60642|118784|60132|520192
60643|35328|31539|507904
60644|400896|221285|1691648
60645|29184|14764|221184
60646|119808|61532|528384
60647|113664|24735|851968
60648|118784|59914|512000
60649|118272|59466|524288
60650|120320|61578|528384
60651|120832|62541|528384
60652|193024|109585|339968
60653|119808|61532|528384
60654|119808|61532|528384
60655|119808|61532|528384
60656|1331200|1138302|1744896
60657|65024|70588|126976
60658|119808|60996|516096
60659|118784|59882|520192
60660|67584|8970|167936
60661|17283|261467|282624
60662|7680|5339|339968
60663|119808|61532|528384
60664|119808|61012|524288
60665|24576|477568|589824
60666|37888|40000|81920
60667|7680|5339|339968
60668|24064|12538|241664
60669|120320|61578|528384
60670|7680|5339|339968
60671|40960|226320|262144
60672|631296|475964|1155072
60673|117248|58650|520192
60674|120320|61658|528384
60675|23552|12825|192512
60676|37888|40000|90112
60677|24064|12538|602112
60678|1307136|582734|1908736
60679|120320|61562|528384
60680|524288|1416352|1445888
60681|103936|58651|180224
60682|29184|14764|221184
60683|117248|58650|520192
60684|118272|59610|516096
60685|118784|59882|520192
60686|120320|61562|528384
60687|120320|61578|528384
60688|37888|40000|81920
60689|7680|5339|339968
60690|552448|409452|978944
60691|104960|67675|180224
60692|74752|44167|208896
60693|119808|61532|528384
60694|165888|120203|352256
60695|120320|61562|528384
60696|37888|40000|81920
60697|13312|29696|61440
60698|120320|61562|528384
60699|119296|60696|524288
60700|117248|58650|520192
60701|7680|5339|339968
60702|37888|40000|81920
60703|103936|58651|180224
60704|120320|61658|528384
60705|120320|61578|528384
60706|117760|58906|520192
60707|162816|67623|229376
60708|29184|14764|221184
60709|31232|5494|331776
60710|119808|61532|528384
60711|119808|61532|528384
60712|119808|61532|528384
60713|24064|12538|241664
60714|74752|44167|221184
60715|122368|53602|495616
60716|20480|7581|73728
60717|119296|60202|524288
60718|102400|12013|712704
60719|12288|13595|3866624
60720|120320|61578|528384
60721|28672|14819|8429568
60722|118272|59610|516096
60723|118784|59802|520192
60724|29184|14764|221184
60725|74752|44167|208896
60726|28672|14819|8708096
60727|47616|49600|98304
60728|180224|548704|557056
60729|635392|479628|1183744
60730|37888|40000|81920
60731|74752|44167|208896
60732|118272|59610|516096
60733|7680|5339|339968
60734|102400|12013|712704
60735|117760|58906|520192
60736|0|9812|77824
60737|118784|60132|520192
60738|40448|42488|81920
60739|193024|109585|339968
60740|119808|61532|528384
60741|119808|61300|524288
60742|29184|14764|221184
60743|38912|13382|405504
60744|64000|10482|262144
60745|24064|12538|602112
60746|102400|12013|712704
60747|117760|58826|520192
60748|37888|40000|81920
60749|119808|61532|528384
60750|120320|61562|528384
60751|120320|61578|528384
60752|24064|12538|241664
60753|120320|61578|528384
60754|225280|622992|655360
60755|64512|13677|339968
60756|120320|61658|528384
60757|105984|4096|229376
60758|117248|58650|520192
60759|120320|61578|528384
60760|99328|8924|1265664
60761|278528|198312|536576
60762|118784|59802|520192
60763|117248|58650|520192
60764|118784|4512|143360
60765|116224|57436|524288
60766|41984|9481|385024
60767|118784|59901|532480
60768|118784|59930|520192
60769|119808|61532|528384
60770|120320|61578|528384
60771|118784|59866|520192
60772|116224|57436|524288
60773|120320|61562|528384
60774|120320|61578|528384
60775|47616|49600|98304
60776|113664|24735|851968
60777|74752|44167|221184
60778|23040|12491|2740224
60779|37888|40000|81920
60780|119808|61532|528384
60781|111616|22731|593920
60782|74752|44167|221184
60783|74752|44167|221184
60784|117248|58650|520192
60785|65536|4416|81920
60786|273408|193848|520192
60787|116224|57436|524288
60788|23552|12860|245760
60789|120320|61658|528384
60790|31232|5494|331776
60791|119808|61532|528384
60792|118784|59930|520192
60793|120320|61578|528384
60794|112640|15735|835584
60795|117248|58650|520192
60796|118272|59610|516096
60797|110592|10010|458752
60798|117248|58650|520192
60799|117760|58826|520192
60800|7680|5339|339968
60801|118272|59610|516096
60802|120320|61578|528384
60803|118784|59802|520192
60804|24064|12538|262144
60805|30720|14348|270336
60806|119808|61532|528384
60807|117248|58650|520192
60808|118784|59802|520192
60809|120320|61578|528384
60810|113664|24735|851968
60811|7680|5339|339968
60812|118272|59610|516096
60813|27648|35582|65536
60814|120320|61578|528384
60815|41984|9481|385024
60816|119808|44864|196608
60817|550400|407756|958464
60818|111104|22431|819200
60819|117248|58650|520192
60820|118784|59914|520192
60821|102400|12013|712704
60822|117248|58650|520192
60823|119296|60696|524288
60824|120320|61658|528384
60825|104448|112526|139264
60826|31232|5494|331776
60827|120320|61578|528384
60828|7680|5339|344064
60829|120320|61658|528384
60830|120320|61658|528384
60831|113664|24735|851968
60832|4096|4411|5300224
60833|724992|4087808|7245824
60834|23040|12491|1409024
60835|120320|61578|528384
60836|71168|16077|163840
60837|120320|61578|528384
60838|64000|10482|262144
60839|117248|58650|520192
60840|29184|14764|221184
60841|119808|61532|528384
60842|113664|24735|851968
60843|25088|13238|335872
60844|7680|5339|339968
60845|82944|21101|159744
60846|119808|61532|528384
60847|499712|1466032|1478656
60848|120320|61562|528384
60849|64000|10482|262144
60850|7680|5339|339968
60851|120320|61562|528384
60852|113664|24735|851968
60853|7680|5339|339968
60854|7680|5339|339968
60855|40448|42488|81920
60856|37888|40000|81920
60857|520192|1401936|1433600
60858|119808|61300|524288
60859|24064|12538|2629632
60860|133632|90315|217088
60861|119808|61532|528384
60862|120320|61658|528384
60863|225280|622992|655360
60864|120320|61578|528384
60865|116224|57436|524288
60866|119808|61532|528384
60867|119808|61316|524288
60868|120320|61658|528384
60869|122368|53569|536576
60870|83456|21501|159744
60871|7680|5339|348160
60872|117760|58906|520192
60873|118784|59930|520192
60874|250368|170481|372736
60875|104960|67835|180224
60876|112128|11330|626688
60877|31232|5494|331776
60878|71168|16077|163840
60879|7680|5339|348160
60880|119808|61532|528384
60881|28672|14819|3977216
60882|111104|22299|684032
60883|24064|12538|241664
60884|120320|61658|528384
60885|110592|10010|458752
60886|120320|61578|528384
60887|117248|58650|520192
60888|528384|1421632|1454080
60889|119808|61532|528384
60890|116224|57436|524288
60891|102400|12013|712704
60892|120320|61562|528384
60893|7680|5339|335872
60894|23040|12491|2740224
60895|156160|112006|487424
60896|119808|61532|528384
60897|117248|58650|520192
60898|120320|61658|528384
60899|3530752|9863632|9891840
60900|546816|404876|954368
60901|99328|8924|1400832
60902|114688|17531|516096
60903|120832|62541|528384
60904|108544|18139|647168
60905|119808|61532|528384
60906|119808|61532|528384
60907|120320|61578|528384
60908|120320|61562|528384
60909|180224|507376|512000
60910|74752|44167|221184
60911|24064|12538|634880
60912|64512|13677|339968
60913|224256|119110|1089536
60914|120320|61562|528384
60915|475648|319769|856064
60916|110080|16127|507904
60917|119808|61532|528384
60918|648704|536991|954368
60919|119808|61532|528384
60920|117760|58906|520192
60921|29184|14764|221184
60922|113664|24735|851968
60923|102400|12013|712704
60924|119808|61532|528384
60925|117248|58650|520192
60926|174592|117140|487424
60927|119808|61532|528384
60928|120320|61578|528384
60929|120320|61578|528384
60930|120320|61578|528384
60931|20480|18800|65536
60932|120320|61562|528384
60933|120320|61562|528384
60934|500736|453094|1056768
60935|49152|151088|167936
60936|40960|226320|262144
60937|524288|1416352|1445888
60938|45056|4520|61440
60939|64000|10482|253952
60940|648704|536991|954368
60941|106496|68939|180224
60942|120320|61578|528384
60943|102400|12013|712704
60944|47616|49600|98304
60945|119808|61532|528384
60946|117248|58650|520192
60947|29184|14764|221184
60948|30720|14348|270336
60949|120320|61658|528384
60950|119808|61532|528384
60951|117760|58826|520192
60952|120320|61658|528384
60953|72192|46038|274432
60954|37888|40000|90112
60955|276480|197793|471040
60956|120320|61578|528384
60957|120320|61578|528384
60958|118784|59882|520192
60959|29184|14764|221184
60960|174592|117140|487424
60961|31232|5494|331776
60962|39424|16342|602112
60963|120320|61578|528384
60964|120832|62541|528384
60965|108544|445014|593920
60966|117248|58650|520192
60967|2260992|4096|2732032
60968|61440|5501|180224
60969|120320|61562|528384
60970|120320|61562|528384
60971|133632|90315|217088
60972|111616|19908|876544
60973|116224|57436|524288
60974|7680|5339|339968
60975|32256|40206|73728
60976|117248|58650|520192
60977|119808|61532|528384
60978|117248|58650|520192
60979|120320|61578|528384
60980|118784|59802|520192
60981|120320|61578|528384
60982|118784|59882|520192
60983|118272|59610|516096
60984|120320|61562|528384
60985|119808|61532|528384
60986|37888|12374|409600
60987|7680|5339|339968
60988|119808|61532|528384
60989|28672|14819|8429568
60990|120320|61578|528384
60991|30720|14348|270336
60992|119808|61532|528384
60993|414720|233685|1732608
60994|20480|8908|57344
60995|29184|14764|221184
60996|119808|61532|528384
60997|120320|61658|528384
60998|120320|61562|528384
60999|120320|61578|528384
61000|7680|5339|335872
61001|47616|49600|98304
61002|64512|10975|262144
61003|113664|24735|851968
61004|31232|5494|331776
61005|119808|61012|524288
61006|119808|61532|528384
61007|65024|11455|262144
61008|74752|44167|221184
61009|120320|61658|528384
61010|37888|40000|81920
61011|120320|61658|528384
61012|70656|15741|217088
61013|129536|52993|303104
61014|210432|117640|475136
61015|1417216|5096|1441792
61016|24064|12721|409600
61017|164352|73560|241664
61018|7680|5339|335872
61019|116224|57436|524288
61020|118784|59882|520192
61021|118272|59610|516096
61022|23552|12825|192512
61023|475648|319769|856064
61024|104960|67739|180224
61025|113664|24735|851968
61026|648704|536991|954368
61027|552448|409708|978944
61028|119808|61532|528384
61029|25600|13643|4730880
61030|120320|61578|528384
61031|1092096|354426|2023424
61032|47616|49600|98304
61033|117248|58650|520192
61034|118272|59610|516096
61035|276480|197953|466944
61036|12288|4332|24576
61037|552448|409708|978944
61038|119808|61532|528384
61039|64000|10482|253952
61040|162816|67623|229376
61041|119808|61532|528384
61042|210432|117640|475136
61043|120320|61562|528384
61044|120320|61562|528384
61045|116224|57436|524288
61046|120320|61578|528384
61047|30720|14348|270336
61048|24064|12538|602112
61049|7680|5339|339968
61050|118784|59914|512000
61051|74752|44167|212992
61052|114176|17389|626688
61053|113664|24735|851968
61054|37376|39512|81920
61055|276480|197969|466944
61056|7680|5339|339968
61057|120320|61562|528384
61058|29184|14764|221184
61059|29184|14764|221184
61060|118784|59882|520192
61061|119808|61532|528384
61062|29184|14764|221184
61063|117248|58650|520192
61064|70656|15741|217088
61065|113664|24735|851968
61066|120320|61562|528384
61067|104960|67675|180224
61068|120320|61578|528384
61069|23552|12860|245760
61070|475648|319769|856064
61071|23552|12825|192512
61072|37888|40000|81920
61073|29903|20446|49152
61074|83456|21853|311296
61075|64000|10482|262144
61076|31232|5494|331776
61077|24576|375488|380928
61078|200704|462880|475136
61079|118784|59930|520192
61080|7680|5339|339968
61081|28672|14819|3977216
61082|47616|49600|98304
61083|64512|13677|339968
61084|23552|12825|192512
61085|104960|67595|180224
61086|517120|510987|684032
61087|37888|40000|81920
61088|7680|5339|339968
61089|28672|14819|3977216
61090|119808|61532|528384
61091|31232|5494|331776
61092|72192|46208|176128
61093|118784|59786|532480
61094|7680|5339|339968
61095|46592|10927|102400
61096|37888|40000|81920
61097|315392|978128|999424
61098|27648|35566|57344
61099|118784|59882|520192
61100|120320|61562|528384
61101|7680|5339|339968
61102|37888|40000|81920
61103|117248|58650|520192
61104|117248|58650|520192
61105|7680|5339|335872
61106|338944|345040|565248
61107|206336|123611|442368
61108|120320|61658|528384
61109|7680|5339|348160
61110|28672|14819|3977216
61111|528384|1421632|1454080
61112|120320|61562|528384
61113|118784|59882|520192
61114|120320|61578|528384
61115|4096|4411|5300224
61116|520192|1401936|1433600
61117|117248|58650|520192
61118|105472|68059|180224
61119|102400|12013|712704
61120|23552|12860|245760
61121|117248|58650|520192
61122|114176|17389|626688
61123|120320|61562|528384
61124|120320|61562|528384
61125|104960|67739|180224
61126|315392|978240|999424
61127|120320|61562|528384
61128|192512|187081|471040
61129|113664|24735|851968
61130|7680|5339|327680
61131|120320|61562|528384
61132|28672|14819|8708096
61133|119808|60842|548864
61134|64000|10482|262144
61135|32768|5333|835584
61136|116224|57436|524288
61137|120320|61578|528384
61138|7680|5339|335872
61139|120320|61562|528384
61140|119808|61532|528384
61141|20480|208654|237568
61142|7680|5339|339968
61143|40960|226320|262144
61144|377344|381120|598016
61145|119296|60696|524288
61146|102400|37518|507904
61147|118784|59914|520192
61148|35328|17191|233472
61149|37888|40000|81920
61150|23040|12491|1400832
61151|278528|198312|536576
61152|120320|61578|528384
61153|120320|61578|528384
61154|24064|12894|233472
61155|119808|61532|528384
61156|37888|40000|90112
61157|120320|61562|528384
61158|58880|66910|90112
61159|23552|12860|245760
61160|74752|44167|221184
61161|119808|61532|528384
61162|120320|61658|528384
61163|117760|58906|520192
61164|120320|61578|528384
61165|65024|70588|126976
61166|110080|16127|507904
61167|111616|22731|593920
61168|120320|61658|528384
61169|28672|14819|1126400
61170|41984|9481|385024
61171|113664|24735|851968
61172|117248|58650|520192
61173|102400|12013|712704
61174|120320|61562|528384
61175|23040|12491|1368064
61176|83968|21885|311296
61177|24064|12538|282624
61178|7680|5339|339968
61179|632832|477100|1183744
61180|24576|368688|409600
61181|120320|61562|528384
61182|133632|90315|217088
61183|120320|61658|528384
61184|120320|61658|528384
61185|120320|61658|528384
61186|113664|24735|851968
61187|120320|61578|528384
61188|102400|12013|712704
61189|120320|61658|528384
61190|120320|61562|528384
61191|120320|61562|528384
61192|648704|536991|954368
61193|116224|57436|524288
61194|46592|10927|450560
61195|37888|40000|81920
61196|552448|409708|978944
61197|104960|67627|180224
61198|7680|5339|339968
61199|119808|61532|528384
61200|120320|61578|528384
61201|117760|58826|520192
61202|47616|49600|98304
61203|37888|40000|81920
61204|74752|44167|208896
61205|37888|40000|110592
61206|29184|14764|221184
61207|29184|14764|221184
61208|120320|61578|528384
61209|31232|5494|331776
61210|1085952|363114|2011136
61211|119808|61532|528384
61212|24064|12538|233472
61213|119808|61532|528384
61214|110592|10010|458752
61215|111616|19908|876544
61216|102400|12013|712704
61217|37888|39672|110592
61218|120320|61562|528384
61219|24064|12538|241664
61220|117760|58906|520192
61221|117248|58650|520192
61222|30720|14348|270336
61223|119808|61532|528384
61224|29184|14764|221184
61225|69120|12035|266240
61226|132096|88811|217088
61227|28672|14819|3977216
61228|118784|60132|520192
61229|118272|59610|516096
61230|118272|59610|516096
61231|117248|58650|520192
61232|118784|59882|520192
61233|119808|61532|528384
61234|37888|40000|81920
61235|118784|59882|520192
61236|120320|61562|528384
61237|120320|61562|528384
61238|520192|1401936|1433600
61239|88576|21373|180224
61240|37888|40000|81920
61241|110080|16127|507904
61242|119808|61532|528384
61243|120320|61562|528384
61244|193024|109585|339968
61245|119808|60842|548864
61246|119808|61532|528384
61247|47616|49600|98304
61248|7680|5339|348160
61249|118272|59610|516096
61250|120320|61562|528384
61251|7680|5339|335872
61252|8192|4416|110592
61253|7680|5339|339968
61254|120320|61658|528384
61255|119808|61532|528384
61256|102400|12013|712704
61257|113664|24735|851968
61258|120320|61658|528384
61259|225280|622992|655360
61260|117760|58906|520192
61261|105984|12165|872448
61262|29184|14764|221184
61263|37376|39508|221184
61264|120320|61658|528384
61265|120320|61578|528384
61266|23040|12491|200704
61267|113664|24735|851968
61268|111616|19956|647168
61269|118272|59370|516096
61270|294912|268389|745472
61271|7680|5339|339968
61272|24064|12538|602112
61273|3133440|8229520|8253440
61274|28672|14819|8708096
61275|117248|58650|520192
61276|120320|61562|528384
61277|550912|555160|749568
61278|119808|61532|528384
61279|102400|12013|712704
61280|29184|14764|221184
61281|117248|58650|520192
61282|7680|5339|339968
61283|120320|61562|528384
61284|28672|14819|8708096
61285|118784|59882|520192
61286|119808|61532|528384
61287|67584|8970|167936
61288|119808|61532|528384
61289|105472|68059|180224
61290|120320|61562|528384
61291|23552|12860|245760
61292|120320|61562|528384
61293|118784|59882|520192
61294|64000|10482|262144
61295|118784|59882|520192
61296|4136960|9227216|9248768
61297|120320|61562|528384
61298|102400|12013|712704
61299|164352|73560|241664
61300|193024|109585|339968
61301|116224|57436|524288
61302|29184|14764|221184
61303|119808|61532|528384
61304|120320|61578|528384
61305|83968|21885|311296
61306|117760|58906|520192
61307|37888|40000|90112
61308|105984|68299|180224
61309|31232|5494|331776
61310|116224|57436|524288
61311|4096|5890|167936
61312|116224|57436|524288
61313|250368|258201|278528
61314|102400|12013|712704
61315|118784|59882|520192
61316|118784|59674|548864
61317|23040|12491|1384448
61318|120320|61578|528384
61319|174592|117140|487424
61320|119808|61156|524288
61321|1097728|359498|2097152
61322|120320|61562|528384
61323|28672|14819|3977216
61324|120320|61578|528384
61325|117760|58906|520192
61326|102400|12013|712704
61327|120320|61578|528384
61328|24064|12721|380928
61329|126976|134718|229376
61330|495616|391356|974848
61331|118784|59866|520192
61332|118784|59930|520192
61333|116224|57436|524288
61334|7680|5339|348160
61335|7680|5339|335872
61336|24064|13121|3981312
61337|23552|12860|245760
61338|119808|61532|528384
61339|23552|12825|192512
61340|120320|61658|528384
61341|24064|12538|241664
61342|102400|12013|712704
61343|29184|14764|221184
61344|29184|14764|221184
61345|28672|388048|397312
61346|117760|58906|520192
61347|7680|5339|335872
61348|120320|61562|528384
61349|37888|39716|81920
61350|24064|12538|634880
61351|88576|21373|180224
61352|120320|61578|528384
61353|119808|61532|528384
61354|113664|24735|851968
61355|119808|61532|528384
61356|31232|5491|331776
61357|1512448|1517780|2142208
61358|102400|12013|712704
61359|7680|5339|344064
61360|110592|10010|458752
61361|24576|25873|57344
61362|120320|61562|528384
61363|120320|61658|528384
61364|41984|9481|385024
61365|120320|61578|528384
61366|29184|14764|221184
61367|36864|38896|77824
61368|118784|59901|532480
61369|117760|58906|520192
61370|7680|5339|335872
61371|119808|61532|528384
61372|119808|61252|524288
61373|121344|62797|524288
61374|119808|61532|528384
61375|117248|58650|520192
61376|31232|5494|331776
61377|120320|61658|528384
61378|524288|1416352|1445888
61379|120320|61578|528384
61380|119808|61532|528384
61381|120320|61658|528384
61382|111104|22299|684032
61383|61440|86017|106496
61384|73728|210240|221184
61385|120320|61578|528384
61386|120320|61658|528384
61387|104960|67595|180224
61388|119808|61532|528384
